,email,Customer Address,Company Name,Funnel,SocialMedia,Priority,Products,Revenue,Costs,Campaing,phone
58,donovankayla@perry.org,"854 Johnson Pass,South Nicoleville, FL 35305",Bailey Inc,Prospects,Organic,High,Product2,4000,195.0,MyDataset1,+1-828-436-7112x654
59,andrewpacheco@yahoo.com,"357 Kemp Shores Apt. 873,Evansshire, WY 68563",Sanchez Group,Prospects,Instagram,High,Product3,2000,35.0,MyDataset1,+1-697-405-2089
60,fvega@hotmail.com,"Unit 3080 Box 4401,DPO AP 61117","Donaldson, Wiley and Ford",Prospects,Organic,High,Product2,4000,315.0,MyDataset4,+1-969-370-0737x55983
61,ericksonjose@watkins-russell.org,"4784 Summers Circles Suite 280,Angelicaberg, HI 39902","Bush, Sanchez and Waller",Proposals,Google,Low,Product2,2000,30.0,MyDataset1,001-118-891-3352x956
62,valentinejames@boone.biz,"4776 Kim Views Suite 634,Rosefurt, ID 37768",Smith PLC,Qualified Prospects,Google,Medium,Product3,2000,80.0,MyDataset4,231-366-1956
63,brandonrobertson@gmail.com,"374 Cindy Wells Apt. 166,West Carlosmouth, UT 71886",Wright Group,Proposals,Google,Low,Product2,5000,85.0,MyDataset1,555.659.6819
64,emilygarrett@hotmail.com,"4378 Dunn Shoal,Ballchester, ME 29668",Romero PLC,Proposals,Organic,Low,Product1,4000,170.0,MyDataset2,933-819-6651
65,bowenarthur@gmail.com,"89131 Jacobson Lock Suite 677,South Jonathanhaven, IL 98205",Brock Group,Prospects,Facebook,High,Product2,2000,55.0,MyDataset4,+1-213-143-3902x3549
66,courtney45@thomas.com,"57325 Paul Brooks Suite 489,South Alexander, OH 23202","Phillips, Kemp and Edwards",Qualified Prospects,Organic,Medium,Product3,3000,55.0,MyDataset4,726-661-5728x0700
67,gmassey@simmons.net,"310 Miller Cliffs,West Stacey, WA 52153",Santos-Collins,Prospects,Organic,High,Product2,2000,145.0,MyDataset4,064.655.7783x078
68,garciadarryl@hotmail.com,"Unit 5846 Box 3035,DPO AP 63044",Andrews-Patterson,Qualified Prospects,Organic,Medium,Product2,5000,165.0,MyDataset2,+1-048-689-1359x76927
69,samantha36@thomas.com,"978 Kelley Station,Mckinneyville, MS 44206",King Ltd,Qualified Prospects,Organic,Medium,Product1,4000,305.0,MyDataset1,330.433.9179
70,rsilva@hotmail.com,"79513 Amanda Union Apt. 150,East Carol, MA 84590",Walker-Johns,Prospects,Facebook,High,Product2,3000,275.0,MyDataset2,001-150-187-1714x88366
71,pettymark@wilson.net,"4490 Brown Plains,Veronicaview, NE 65362",Howell-Thomas,Qualified Prospects,Instagram,Medium,Product2,3000,280.0,MyDataset3,481.419.4664
72,michaelsanchez@hotmail.com,"0654 Angela Terrace Apt. 309,Turnertown, FL 82928",Mercado PLC,Proposals,Facebook,Low,Product2,4000,55.0,MyDataset3,612.328.7209
73,branchroger@zamora.com,"40850 Dana Forge Apt. 712,East Joeview, KY 84295","Reyes, Jones and Holden",Prospects,Google,High,Product2,2000,190.0,MyDataset3,+1-811-389-1506x985
74,beckercaitlyn@yahoo.com,"28610 Griffin Roads,Ryanview, TN 07451",Ramirez PLC,Prospects,Facebook,High,Product1,2000,115.0,MyDataset1,4463103979
75,mclark@flores.com,"20219 Rebecca Parkway,Annabury, IA 40794","Dickerson, Montgomery and Romero",Qualified Prospects,Organic,Medium,Product2,3000,90.0,MyDataset3,216.341.2095
76,davidparker@yahoo.com,"096 Frank Hills Suite 110,Jamieview, IL 65253","Smith, Price and Smith",Qualified Prospects,Organic,Medium,Product1,2000,175.0,MyDataset4,756.319.5248x77699
77,mark82@hotmail.com,"00254 Brian Shore,North Preston, OH 04471",Olson Inc,Qualified Prospects,Organic,Medium,Product3,3000,125.0,MyDataset1,985-881-2096x852
78,idelacruz@mcgee-rodriguez.com,"72466 Nicole Path,Turnerville, CA 49670","Medina, Castro and Johnson",Qualified Prospects,Google,Medium,Product2,4000,95.0,MyDataset4,(190)742-9705
79,susan61@dalton-hernandez.com,"USS Medina,FPO AE 21520",Leach PLC,Qualified Prospects,Organic,Medium,Product2,3000,275.0,MyDataset2,2590290871
80,tosborne@jennings.com,"41333 Sara Rapids,Port Lisa, WY 09132",Perry and Sons,Qualified Prospects,Organic,Medium,Product1,2000,70.0,MyDataset4,694-702-7895
81,karenpugh@hotmail.com,"22170 Haley Trail,Nancytown, ME 26636",Larson-Newton,New,Instagram,Very low,Product2,4000,260.0,MyDataset4,(464)687-2699x732
82,johnsonsteve@carpenter-lawrence.com,"7079 Christian Ford Apt. 660,Port Amandastad, KS 66124",Ramirez Inc,Prospects,Facebook,High,Product1,4000,240.0,MyDataset1,296.490.0963x18564
83,youngwilliam@hotmail.com,"84615 Oliver Shores,Josephshire, MS 20033",Duncan-Glover,Prospects,Instagram,High,Product2,5000,60.0,MyDataset2,192.984.7078
84,stevensmelody@gmail.com,"5152 John Forge,Port April, AZ 67967",Anderson Ltd,Prospects,Google,High,Product2,2000,30.0,MyDataset2,318.907.9132x73931
85,allisoncameron@rogers.com,"30958 Brian Overpass,South Richard, MI 19290","Johnson, Crawford and Lynch",Proposals,Google,Low,Product2,4000,240.0,MyDataset4,+1-756-588-5245x118
86,shannonrobbins@yahoo.com,"25482 Jackson Manors,Sandersmouth, WA 57891",Sharp-White,Qualified Prospects,Organic,Medium,Product2,5000,320.0,MyDataset1,+1-313-964-2880x61736
87,cassidy98@yahoo.com,"74818 Maldonado Parks Suite 031,Thomaschester, CO 28401",Murray Group,Prospects,Google,High,Product2,5000,315.0,MyDataset3,6456221583
88,liutheodore@hampton.org,"76862 Sampson Terrace,Thorntonmouth, MA 15421","Bailey, Moss and Parker",Qualified Prospects,Instagram,Medium,Product3,2000,185.0,MyDataset3,(687)275-3188
89,joshua83@warren-davila.com,"26776 Brock Drives Apt. 051,Johnview, NY 77542",Jackson Ltd,Prospects,Instagram,High,Product1,2000,40.0,MyDataset4,(449)493-1796x55320
90,raymondbernard@joseph.net,"9172 Sellers Well Suite 119,East Willie, AR 62818","Palmer, Clark and Freeman",Qualified Prospects,Facebook,Medium,Product2,2000,145.0,MyDataset2,001-700-652-2656x0662
91,theresathompson@fitzpatrick.com,"7804 Garcia Point Apt. 859,Johnsonchester, VT 12774",Juarez and Sons,Proposals,Instagram,Low,Product2,3000,250.0,MyDataset2,(055)504-8610
92,meyersdaniel@gmail.com,"1967 Howard Port,Edwardburgh, MO 10627",Diaz Inc,Prospects,Instagram,High,Product1,2000,80.0,MyDataset3,669-144-1362x3742
93,djones@davis.info,"942 Stewart Unions,Millsstad, ND 21140","Foster, Garcia and Stewart",Prospects,Google,High,Product1,4000,300.0,MyDataset4,(719)351-9500x409
94,awilliams@hotmail.com,"5789 Powell Haven Apt. 396,Patriciaview, VT 54369","Johnson, Lee and Casey",Prospects,Organic,High,Product1,5000,170.0,MyDataset1,547-536-2055x78723
95,zschroeder@lewis.com,"555 Jeffrey Court Suite 614,South Adriana, MD 29156",Boyd Group,Proposals,Organic,Low,Product2,4000,335.0,MyDataset2,646-972-4300
96,georgewall@bennett.info,"94558 Ashley Mall,Gillfort, UT 28136",Shah-Smith,Qualified Prospects,Instagram,Medium,Product2,2000,75.0,MyDataset2,101-304-1105x14516
97,lydia73@hotmail.com,"PSC 7133, Box 4771,APO AP 74641","Christian, Atkinson and Quinn",Qualified Prospects,Organic,Medium,Product2,3000,50.0,MyDataset2,001-412-450-7568x867
98,bondjames@gmail.com,"6037 Sarah Springs,Port Jenniferton, WA 07814","Lucero, Chandler and Burke",Proposals,Instagram,Low,Product2,5000,175.0,MyDataset4,889.170.9136
99,randall58@hotmail.com,"009 Karen Row Apt. 414,North Jennifer, ME 86311",Payne and Sons,Proposals,Organic,Low,Product1,2000,195.0,MyDataset2,(033)141-0932x883
